htsc_code,index_name,sector_family,min_date,max_date,bar_count,train_2018_2021_bars,validation_2022_bars,test_2023_bars,sealed_2024_plus_bars,usable_in_initial_train,usable_in_validation,usable_in_test
881101.THS,种植业与林业,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881102.THS,养殖业,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881103.THS,农产品加工,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881105.THS,煤炭开采加工,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881107.THS,油气开采及服务,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881108.THS,化学原料,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881109.THS,化学制品,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881112.THS,钢铁,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881114.THS,金属新材料,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881115.THS,建筑材料,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881116.THS,建筑装饰,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881117.THS,通用设备,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881118.THS,专用设备,881,2010-01-04,2026-08-11,4030,973,242,242,631,True,True,True
881121.THS,半导体,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881122.THS,光学光电子,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881123.THS,其他电子,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881124.THS,消费电子,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881125.THS,汽车整车,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881126.THS,汽车零部件,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881128.THS,汽车服务及其他,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881129.THS,通信设备,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881130.THS,计算机设备,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881131.THS,白色家电,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881132.THS,黑色家电,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
881133.THS,饮料制造,881,2010-01-04,2026-08-11,4031,973,242,242,631,True,True,True
