市场,榜单,页码,股票代码,当前排名,排名变化,更新时间,老股民占比,新股民占比,历史排名
A股,热门排行,1,000725,1,4,2026-07-08 17:32:00,88.67,11.33,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":4},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":10},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":12},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":28},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":12},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":13},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":5},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":5},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":8},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":5},{""RANKCHANGE"":0,""HOTRANKSCORE"":28730104.60209889,""INNERCODE"":""000725"",""HISRANKCHANGE_RANK"":2509,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":4,""SRCSECURITYCODE"":""SZ000725"",""RANK"":1,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,000977,2,6,2026-07-08 17:32:00,31.21,68.79,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":293},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":257},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":323},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":337},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":396},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":431},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":363},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":356},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":106},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":349},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":220},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":189},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":116},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":116},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":192},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":305},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":330},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":290},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":97},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":259},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":268},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":301},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":243},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":90},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":313},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":310},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":188},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":167},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":206},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":52},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":8},{""RANKCHANGE"":0,""HOTRANKSCORE"":26353724.35127819,""INNERCODE"":""000977"",""HISRANKCHANGE_RANK"":2491,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":6,""SRCSECURITYCODE"":""SZ000977"",""RANK"":2,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,000938,3,24,2026-07-08 17:32:00,39.40,60.60,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":330},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":258},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":364},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":392},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":399},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":435},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":304},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":389},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":287},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":350},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":306},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":275},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":217},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":222},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":299},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":363},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":434},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":278},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":201},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":193},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":262},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":329},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":295},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":15},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":84},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":196},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":93},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":67},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":78},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":27},{""RANKCHANGE"":0,""HOTRANKSCORE"":21191067.03161664,""INNERCODE"":""000938"",""HISRANKCHANGE_RANK"":2343,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":24,""SRCSECURITYCODE"":""SZ000938"",""RANK"":3,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,002185,4,-3,2026-07-08 17:32:00,66.30,33.70,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":86},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":78},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":59},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":111},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":118},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":76},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":93},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":102},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":64},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":68},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":8},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":15},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":22},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":21},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":16},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":30},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":71},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":8},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":12},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":18},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":17},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":22},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":31},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":60},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":58},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":35},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":49},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":23},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":1},{""RANKCHANGE"":0,""HOTRANKSCORE"":20734745.258578345,""INNERCODE"":""002185"",""HISRANKCHANGE_RANK"":2569,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":-3,""SRCSECURITYCODE"":""SZ002185"",""RANK"":4,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,600584,5,-3,2026-07-08 17:32:00,82.58,17.42,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":40},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":31},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":50},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":60},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":20},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":37},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":60},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":20},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":33},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":11},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":10},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":12},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":4},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":11},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":10},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":5},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":5},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":8},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":11},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":11},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":4},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":2},{""RANKCHANGE"":0,""HOTRANKSCORE"":19675278.918755107,""INNERCODE"":""600584"",""HISRANKCHANGE_RANK"":2567,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":-3,""SRCSECURITYCODE"":""SH600584"",""RANK"":5,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,300017,6,949,2026-07-08 17:32:00,26.97,73.03,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":738},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":678},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":804},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":779},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":601},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":663},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":788},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":756},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":862},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":855},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":907},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":367},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":430},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":451},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":507},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":594},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":580},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":739},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":733},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":667},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":903},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":938},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":1014},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":836},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":711},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":990},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":1132},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":1378},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":1429},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":1022},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":955},{""RANKCHANGE"":0,""HOTRANKSCORE"":15851526.70248597,""INNERCODE"":""300017"",""HISRANKCHANGE_RANK"":390,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":949,""SRCSECURITYCODE"":""SZ300017"",""RANK"":6,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,002747,7,-3,2026-07-08 17:32:00,64.54,35.46,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":23},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":36},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":109},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":149},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":126},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":171},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":214},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":203},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":260},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":28},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":24},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":32},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":25},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":130},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":59},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":149},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":181},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":212},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":182},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":244},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":287},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":17},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":10},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":24},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":4},{""RANKCHANGE"":0,""HOTRANKSCORE"":14397431.208559144,""INNERCODE"":""gs80198554"",""HISRANKCHANGE_RANK"":2568,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":-3,""SRCSECURITYCODE"":""SZ002747"",""RANK"":7,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,600206,8,-5,2026-07-08 17:32:00,79.06,20.94,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":414},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":533},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":280},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":14},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":18},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":91},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":39},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":38},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":67},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":11},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":42},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":25},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":12},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":2},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":18},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":18},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":19},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":5},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":7},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":8},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":8},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":11},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":37},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":53},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":57},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":87},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":74},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":3},{""RANKCHANGE"":0,""HOTRANKSCORE"":12659144.997632198,""INNERCODE"":""600206"",""HISRANKCHANGE_RANK"":2592,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":-5,""SRCSECURITYCODE"":""SH600206"",""RANK"":8,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,600172,9,1,2026-07-08 17:32:00,74.54,25.46,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":190},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":215},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":239},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":219},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":289},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":177},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":202},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":242},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":236},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":198},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":153},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":41},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":32},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":3},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":5},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":1},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":20},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":13},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":49},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":79},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":56},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":100},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":81},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":171},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":9},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":45},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":94},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":116},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":6},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":10},{""RANKCHANGE"":0,""HOTRANKSCORE"":12369666.047887154,""INNERCODE"":""600172"",""HISRANKCHANGE_RANK"":2530,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":1,""SRCSECURITYCODE"":""SH600172"",""RANK"":9,""HOURRANKCHANGE"":0}]"
A股,热门排行,1,002261,10,268,2026-07-08 17:32:00,60.39,39.61,"[{""CALCTIME"":""2026-06-07 23:58:00"",""RANK"":543},{""CALCTIME"":""2026-06-08 23:58:00"",""RANK"":444},{""CALCTIME"":""2026-06-09 23:58:00"",""RANK"":371},{""CALCTIME"":""2026-06-10 23:58:00"",""RANK"":15},{""CALCTIME"":""2026-06-11 23:58:00"",""RANK"":180},{""CALCTIME"":""2026-06-12 23:58:00"",""RANK"":147},{""CALCTIME"":""2026-06-13 23:58:00"",""RANK"":211},{""CALCTIME"":""2026-06-14 23:58:00"",""RANK"":229},{""CALCTIME"":""2026-06-15 23:58:00"",""RANK"":388},{""CALCTIME"":""2026-06-16 23:58:00"",""RANK"":413},{""CALCTIME"":""2026-06-17 23:58:00"",""RANK"":433},{""CALCTIME"":""2026-06-18 23:58:00"",""RANK"":202},{""CALCTIME"":""2026-06-19 23:58:00"",""RANK"":276},{""CALCTIME"":""2026-06-20 23:58:00"",""RANK"":288},{""CALCTIME"":""2026-06-21 23:58:00"",""RANK"":265},{""CALCTIME"":""2026-06-22 23:58:00"",""RANK"":348},{""CALCTIME"":""2026-06-23 23:58:00"",""RANK"":404},{""CALCTIME"":""2026-06-24 23:58:00"",""RANK"":483},{""CALCTIME"":""2026-06-25 23:58:00"",""RANK"":496},{""CALCTIME"":""2026-06-26 23:58:00"",""RANK"":441},{""CALCTIME"":""2026-06-27 23:58:00"",""RANK"":639},{""CALCTIME"":""2026-06-28 23:58:00"",""RANK"":653},{""CALCTIME"":""2026-06-29 23:58:00"",""RANK"":577},{""CALCTIME"":""2026-06-30 23:58:00"",""RANK"":402},{""CALCTIME"":""2026-07-01 23:58:00"",""RANK"":600},{""CALCTIME"":""2026-07-02 23:58:00"",""RANK"":68},{""CALCTIME"":""2026-07-03 23:58:00"",""RANK"":357},{""CALCTIME"":""2026-07-04 23:58:00"",""RANK"":365},{""CALCTIME"":""2026-07-05 23:58:00"",""RANK"":380},{""CALCTIME"":""2026-07-06 23:58:00"",""RANK"":120},{""CALCTIME"":""2026-07-07 23:58:00"",""RANK"":278},{""RANKCHANGE"":0,""HOTRANKSCORE"":11957711.564051948,""INNERCODE"":""002261"",""HISRANKCHANGE_RANK"":1224,""MARKETALLCOUNT"":5528,""CALCTIME"":""2026-07-08 17:32:00"",""HISRANKCHANGE"":268,""SRCSECURITYCODE"":""SZ002261"",""RANK"":10,""HOURRANKCHANGE"":0}]"
