snapshot_date,snapshot_time,sector_name,rank_in_return,etf_code,market,source_api
2026-07-07,2026-07-07 09:29:54,ETF跨境型,1,510900.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,2,513000.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,3,513010.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,4,513020.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,5,513030.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,6,513040.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,7,513050.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,8,513060.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,9,513070.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,10,513080.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,11,513090.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,12,513100.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,13,513110.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,14,513120.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,15,513130.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,16,513140.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,17,513150.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,18,513160.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,19,513170.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,20,513180.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,21,513190.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,22,513200.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,23,513210.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,24,513220.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,25,513230.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,26,513240.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,27,513260.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,28,513280.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,29,513290.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,30,513300.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,31,513310.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,32,513320.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,33,513330.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,34,513350.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,35,513360.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,36,513380.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,37,513390.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,38,513400.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,39,513500.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,40,513520.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,41,513530.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,42,513550.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,43,513560.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,44,513580.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,45,513590.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,46,513600.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,47,513620.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,48,513630.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,49,513650.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,50,513660.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,51,513690.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,52,513700.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,53,513720.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,54,513730.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,55,513750.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,56,513770.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,57,513780.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,58,513800.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,59,513810.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,60,513820.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,61,513830.SH,SH,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 09:29:54,ETF跨境型,62,513850.SH,SH,xtdata.get_stock_list_in_sector
