stock_code,valuation_date,pe_ttm,pb,roe_q4_annual,revenue_yoy_q4_annual
688336.SH,2026-06-26,13.1703,4.3106,41.32,251.8122
300251.SZ,2026-06-26,-81.0391,3.1724,17.9,154.7956
688280.SH,2026-06-26,-163.2506,4.9331,22.89,109.1099
002155.SZ,2026-06-26,21.0959,4.3478,19.05,80.2583
002701.SZ,2026-06-26,17.2977,1.0691,10.73,75.6773
002558.SZ,2026-06-26,19.1062,3.2539,12.45,72.6874
002039.SZ,2026-06-26,12.6537,1.7702,14.34,69.9797
603444.SH,2026-06-26,12.7606,4.2123,33.27,67.8894
002602.SZ,2026-06-26,16.0696,3.1198,20.27,67.5457
002487.SZ,2026-06-26,32.5761,4.7072,14.18,63.3365
688117.SH,2026-06-26,28.4451,4.6216,15.98,62.5749
301026.SZ,2026-06-26,23.4717,2.7935,11.14,61.085
301613.SZ,2026-06-26,24.2702,3.0947,14.77,60.5868
300850.SZ,2026-06-26,14.4754,1.5109,13.78,57.1114
688169.SH,2026-06-26,21.4061,1.6613,10.14,56.511
603296.SH,2026-06-26,31.768,3.9219,16.82,56.0248
301479.SZ,2026-06-26,40.5267,5.4353,17.92,54.9545
300043.SZ,2026-06-26,14.4197,2.7903,18.9,53.8115
301358.SZ,2026-06-26,25.6264,3.3578,10.45,53.2169
688501.SH,2026-06-26,19.3763,2.1865,16.86,52.9015
002170.SZ,2026-06-26,10.7325,2.6769,25.93,52.6213
001301.SZ,2026-06-26,24.5822,3.1044,14.34,51.8965
688648.SH,2026-06-26,-29.1298,2.0651,33.49,51.8629
000893.SZ,2026-06-26,19.3217,2.7833,13.28,50.0858
689009.SH,2026-06-26,18.6072,3.7057,26.08,49.8884
002683.SZ,2026-06-26,21.8638,2.9739,14.2,49.2035
600338.SH,2026-06-26,23.9162,3.0035,12.56,48.2152
600867.SH,2026-06-26,37.0991,2.01,18.36,46.6574
688578.SH,2026-06-26,18.6239,5.4316,35.4,45.7965
600989.SH,2026-06-26,12.3423,2.9183,24.84,45.644
603379.SH,2026-06-26,18.8097,4.6802,28.13,44.8074
605305.SH,2026-06-26,16.4487,2.8369,19.11,44.6424
000977.SZ,2026-06-26,41.8069,4.2067,11.55,43.2532
002345.SZ,2026-06-26,13.04,1.9237,13.73,42.9585
605599.SH,2026-06-26,9.0034,2.1325,26.47,42.4407
002895.SZ,2026-06-26,14.8846,2.33,18.17,41.0194
300871.SZ,2026-06-26,16.2725,1.986,13.36,40.0657
600988.SH,2026-06-26,13.8647,3.4486,27.14,40.0261
603979.SH,2026-06-26,14.8951,3.2123,23.29,39.7445
300059.SZ,2026-06-26,25.101,3.3213,14.03,38.4632
600428.SH,2026-06-26,12.4247,1.298,11.42,38.3208
600499.SH,2026-06-26,17.7587,1.9522,10.9,38.0088
002941.SZ,2026-06-26,18.8564,1.5163,11.9,37.4306
300926.SZ,2026-06-26,9.3161,2.0847,27.68,37.3913
688093.SH,2026-06-26,26.6705,3.548,17.52,36.7504
300893.SZ,2026-06-26,20.739,3.5888,22.98,35.8764
002997.SZ,2026-06-26,15.5212,2.2951,16.86,35.8011
603697.SH,2026-06-26,24.9145,2.3439,10.41,34.3905
603087.SH,2026-06-26,42.7423,2.7158,10.08,33.0602
603799.SH,2026-06-26,13.3727,1.757,13.7,32.9361
301033.SZ,2026-06-26,29.6746,3.6928,15.22,32.4622
605499.SH,2026-06-26,18.3994,3.9784,51.61,31.7979
002284.SZ,2026-06-26,14.3677,1.948,15.66,31.6107
603129.SH,2026-06-26,23.4485,4.6512,24.49,31.304
688278.SH,2026-06-26,20.7972,5.9513,34.83,31.1807
603236.SH,2026-06-26,25.4581,2.683,18.76,30.8293
000426.SZ,2026-06-26,26.1496,5.4144,19.6,30.0878
301498.SZ,2026-06-26,26.0722,3.2434,15.29,29.0564
600030.SH,2026-06-26,12.0676,1.2288,10.59,28.795
001319.SZ,2026-06-26,20.2353,1.9685,10.53,28.7125
603612.SH,2026-06-26,12.6125,1.5082,13.73,28.6755
688789.SH,2026-06-26,23.0829,2.6505,15.7,28.606
603312.SH,2026-06-26,23.0968,3.0433,14.97,28.5162
000951.SZ,2026-06-26,12.9817,1.3287,10.58,28.5074
002906.SZ,2026-06-26,16.6362,1.7691,11.66,28.458
601020.SH,2026-06-26,44.1669,4.5001,17.61,28.3054
000957.SZ,2026-06-26,15.7782,1.7175,11.59,27.8202
301219.SZ,2026-06-26,13.628,2.0583,12.13,27.4737
688633.SH,2026-06-26,23.6042,2.769,10.12,27.4704
300505.SZ,2026-06-26,15.8915,2.2336,16.67,27.0363
688080.SH,2026-06-26,21.3297,2.3794,13.51,27.0127
301665.SZ,2026-06-26,18.7758,2.5766,13.71,26.7298
002518.SZ,2026-06-26,49.0732,5.956,13.36,26.7201
600415.SH,2026-06-26,13.2375,2.2423,17.53,26.6237
605056.SH,2026-06-26,25.0513,3.5605,14.96,26.4839
002850.SZ,2026-06-26,27.4698,3.6187,14.07,26.4621
300014.SZ,2026-06-26,39.8509,3.075,10.5,26.4428
600547.SH,2026-06-26,19.5437,2.306,15.59,26.3814
300824.SZ,2026-06-26,21.5127,2.9879,15.64,26.1282
600531.SH,2026-06-26,23.9661,2.7121,15.14,25.9478
000975.SZ,2026-06-26,12.7024,2.9555,21.56,25.8598
300967.SZ,2026-06-26,-61.3876,3.3768,10.82,25.8232
002595.SZ,2026-06-26,23.9669,4.3259,21.8,25.7004
300611.SZ,2026-06-26,39.8843,3.7756,12.34,25.4802
603500.SH,2026-06-26,30.1478,3.805,13.45,25.0089
603239.SH,2026-06-26,19.1868,2.8369,17.92,24.3099
603173.SH,2026-06-26,14.1575,2.6223,23.48,24.1446
002475.SZ,2026-06-26,34.2362,5.5998,21.1,23.6425
300866.SZ,2026-06-26,24.8828,5.093,26.1,23.4897
002126.SZ,2026-06-26,46.7168,5.5307,14.12,23.4267
688155.SH,2026-06-26,21.6618,3.8108,16.53,23.3903
300662.SZ,2026-06-26,17.5115,1.4321,14.67,23.3515
300697.SZ,2026-06-26,36.3739,5.1794,13.53,23.3417
601168.SH,2026-06-26,14.1381,3.149,20.5,23.3104
600983.SH,2026-06-26,12.7388,1.7259,18.32,23.2252
688208.SH,2026-06-26,18.7884,4.0223,25.96,22.9002
688301.SH,2026-06-26,48.2137,4.8282,13.12,22.8975
000938.SZ,2026-06-26,39.6948,4.7191,12.03,22.4289
000603.SZ,2026-06-26,23.7923,4.0858,16.29,22.2647
301608.SZ,2026-06-26,29.1759,2.9908,11.21,22.1046
002130.SZ,2026-06-26,20.8548,2.4467,19.05,22.0042
002901.SZ,2026-06-26,33.6836,4.6533,18.15,21.7882
300124.SZ,2026-06-26,35.977,4.7094,16.34,21.7702
002056.SZ,2026-06-26,30.6172,4.5054,17.42,21.7031
002209.SZ,2026-06-26,24.328,2.4992,15.63,21.6531
603162.SH,2026-06-26,20.7578,2.7102,10.79,21.4342
688087.SH,2026-06-26,24.5445,2.1539,10.66,21.2904
003039.SZ,2026-06-26,21.9693,2.3159,10.75,21.1795
603596.SH,2026-06-26,17.6102,2.579,18.03,20.9074
301299.SZ,2026-06-26,45.3985,4.454,10.77,20.9035
600489.SH,2026-06-26,12.8696,2.7047,17.05,20.6213
002150.SZ,2026-06-26,34.9203,4.1286,13.83,20.6006
300994.SZ,2026-06-26,22.1626,2.0502,12.2,20.5418
688269.SH,2026-06-26,30.431,3.7554,10.65,20.4292
002603.SZ,2026-06-26,18.7882,2.1488,11.99,20.2373
603733.SH,2026-06-26,21.0024,2.1567,12.1,20.142
688013.SH,2026-06-26,29.5774,3.451,14.7,19.9608
300644.SZ,2026-06-26,21.2407,2.3337,13.06,19.8191
605016.SH,2026-06-26,25.9424,4.9969,19.49,19.7457
002588.SZ,2026-06-26,9.5151,1.1852,14.4,19.6924
002624.SZ,2026-06-26,48.3937,3.1057,10.61,19.5507
300415.SZ,2026-06-26,12.5188,2.5863,22.83,19.4594
603606.SH,2026-06-26,23.2435,3.6869,16.83,19.2572
003002.SZ,2026-06-26,22.8856,2.3105,11.86,19.1888
601336.SH,2026-06-26,5.3778,1.5048,34.69,19.0034
002606.SZ,2026-06-26,26.1089,3.0475,11.68,18.9176
300019.SZ,2026-06-26,30.5413,2.5916,10.59,18.7515
301303.SZ,2026-06-26,26.6666,1.9653,10.18,18.7472
603025.SH,2026-06-26,18.9933,5.0429,28.56,18.698
301538.SZ,2026-06-26,29.8458,3.6825,14.48,18.6789
688698.SH,2026-06-26,44.0621,4.3977,11.79,18.6584
600388.SH,2026-06-26,17.0523,1.6673,10.58,18.4942
002448.SZ,2026-06-26,17.4964,1.8395,11.23,18.4861
300881.SZ,2026-06-26,26.9286,3.5446,22.52,18.2736
300018.SZ,2026-06-26,42.1555,4.1152,10.31,18.209
603059.SH,2026-06-26,20.6389,2.1922,10.96,18.2037
002956.SZ,2026-06-26,31.4312,3.7724,10.99,18.1118
001696.SZ,2026-06-26,49.2471,4.8991,12.82,17.9805
