index_code,index_name,query_trading_day,source_api,source_query_code,htsc_code,name,exchange,stock_code,stock_name,stock_exchange,trading_day,weight,in_date,out_date
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000006.SZ,深振业A,XSHE,2019-05-15 00:00:00,0.15,2007-01-15 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000008.SZ,神州高铁,XSHE,2019-05-15 00:00:00,0.25,2018-06-11 00:00:00,2021-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000009.SZ,中国宝安,XSHE,2019-05-15 00:00:00,0.34,2017-12-11 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000012.SZ,南玻A,XSHE,2019-05-15 00:00:00,0.14,2014-12-15 00:00:00,2023-12-11 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000021.SZ,长城开发,XSHE,2019-05-15 00:00:00,0.16,2013-01-04 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000025.SZ,特力A,XSHE,2019-05-15 00:00:00,0.07,2016-12-12 00:00:00,2020-12-14 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000027.SZ,深圳能源,XSHE,2019-05-15 00:00:00,0.2,2017-06-12 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000028.SZ,一致药业,XSHE,2019-05-15 00:00:00,0.18,2007-01-15 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000031.SZ,中粮地产,XSHE,2019-05-15 00:00:00,0.23,2012-01-04 00:00:00,2024-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000039.SZ,中集集团,XSHE,2019-05-15 00:00:00,0.31,2017-06-12 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000049.SZ,德赛电池,XSHE,2019-05-15 00:00:00,0.09,2013-12-16 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000060.SZ,中金岭南,XSHE,2019-05-15 00:00:00,0.32,2018-12-17 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000061.SZ,农产品,XSHE,2019-05-15 00:00:00,0.11,2017-06-12 00:00:00,2021-12-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000062.SZ,深圳华强,XSHE,2019-05-15 00:00:00,0.12,2014-12-15 00:00:00,2023-06-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000066.SZ,长城电脑,XSHE,2019-05-15 00:00:00,0.44,2008-01-02 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000078.SZ,海王生物,XSHE,2019-05-15 00:00:00,0.18,2007-01-15 00:00:00,2021-12-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000089.SZ,深圳机场,XSHE,2019-05-15 00:00:00,0.25,2016-12-12 00:00:00,2024-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000090.SZ,深天健,XSHE,2019-05-15 00:00:00,0.13,2007-01-15 00:00:00,2022-06-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000156.SZ,华数传媒,XSHE,2019-05-15 00:00:00,0.18,2017-12-11 00:00:00,2024-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000158.SZ,常山股份,XSHE,2019-05-15 00:00:00,0.13,2016-06-13 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000400.SZ,许继电气,XSHE,2019-05-15 00:00:00,0.15,2016-06-13 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000401.SZ,冀东水泥,XSHE,2019-05-15 00:00:00,0.42,2015-06-15 00:00:00,2025-06-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000418.SZ,小天鹅A,XSHE,2019-05-15 00:00:00,0.35,2012-03-20 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000426.SZ,富龙热电,XSHE,2019-05-15 00:00:00,0.11,2007-01-15 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000488.SZ,晨鸣纸业,XSHE,2019-05-15 00:00:00,0.2,2011-01-04 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000501.SZ,鄂武商A,XSHE,2019-05-15 00:00:00,0.12,2007-01-15 00:00:00,2021-12-13 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000513.SZ,丽珠集团,XSHE,2019-05-15 00:00:00,0.27,2010-07-01 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000519.SZ,江南红箭,XSHE,2019-05-15 00:00:00,0.14,2014-12-15 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000528.SZ,柳工,XSHE,2019-05-15 00:00:00,0.19,2014-06-16 00:00:00,2022-12-12 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000536.SZ,华映科技,XSHE,2019-05-15 00:00:00,0.11,2017-06-12 00:00:00,2020-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000537.SZ,广宇发展,XSHE,2019-05-15 00:00:00,0.11,2018-12-17 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000541.SZ,佛山照明,XSHE,2019-05-15 00:00:00,0.1,2009-01-05 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000543.SZ,皖能电力,XSHE,2019-05-15 00:00:00,0.14,2010-01-04 00:00:00,2021-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000547.SZ,闽福发A,XSHE,2019-05-15 00:00:00,0.31,2015-06-15 00:00:00,2024-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000552.SZ,靖远煤电,XSHE,2019-05-15 00:00:00,0.09,2013-12-16 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000559.SZ,万向钱潮,XSHE,2019-05-15 00:00:00,0.24,2018-12-17 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000563.SZ,陕国投A,XSHE,2019-05-15 00:00:00,0.24,2007-01-15 00:00:00,2026-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000564.SZ,供销大集,XSHE,2019-05-15 00:00:00,0.15,2018-12-17 00:00:00,2021-03-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000581.SZ,威孚高科,XSHE,2019-05-15 00:00:00,0.31,2016-06-13 00:00:00,2024-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000587.SZ,金洲慈航,XSHE,2019-05-15 00:00:00,0.08,2013-07-01 00:00:00,2019-12-16 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000596.SZ,古井贡酒,XSHE,2019-05-15 00:00:00,0.37,2014-06-16 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000598.SZ,兴蓉环境,XSHE,2019-05-15 00:00:00,0.22,2016-06-13 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000600.SZ,建投能源,XSHE,2019-05-15 00:00:00,0.14,2015-06-15 00:00:00,2021-06-15 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000612.SZ,焦作万方,XSHE,2019-05-15 00:00:00,0.11,2012-01-04 00:00:00,2019-06-17 00:00:00
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000623.SZ,吉林敖东,XSHE,2019-05-15 00:00:00,0.43,2018-12-17 00:00:00,
399905.SZ,中证500,2019-05-15,get_index_component,000905,000905.SH,中证500,XSHG,000636.SZ,风华高科,XSHE,2019-05-15 00:00:00,0.24,2010-01-04 00:00:00,2025-12-15 00:00:00
