snapshot_date,snapshot_time,sector_name,rank_in_return,etf_code,market,source_api
2026-07-07,2026-07-07 16:26:16,ETF主题指数,1,159608.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,2,159613.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,3,159701.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,4,159702.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,5,159703.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,6,159708.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,7,159709.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,8,159710.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,9,159713.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,10,159715.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,11,159717.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,12,159720.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,13,159723.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,14,159725.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,15,159728.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,16,159729.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,17,159731.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,18,159733.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,19,159736.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,20,159738.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,21,159739.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,22,159743.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,23,159748.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,24,159752.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,25,159755.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,26,159757.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,27,159761.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,28,159763.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,29,159766.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,30,159767.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,31,159770.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,32,159773.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,33,159775.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,34,159777.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,35,159779.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,36,159786.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,37,159790.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,38,159793.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,39,159795.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,40,159804.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,41,159805.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,42,159806.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,ETF主题指数,43,159807.SZ,SZ,xtdata.get_stock_list_in_sector
