snapshot_date,snapshot_time,sector_name,rank_in_return,etf_code,market,source_api
2026-07-14,2026-07-14 23:28:36,ETF股票型,1,159007.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,2,159008.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,3,159009.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,4,159011.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,5,159012.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,6,159013.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,7,159016.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,8,159017.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,9,159018.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,10,159019.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,11,159020.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,12,159021.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,13,159022.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,14,159023.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,15,159026.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,16,159027.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,17,159029.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,18,159030.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,19,159031.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,20,159032.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,21,159033.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,22,159035.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,23,159036.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,24,159037.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,25,159038.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,26,159039.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,27,159041.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,28,159042.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,29,159045.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,30,159046.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF股票型,31,159048.SZ,SZ,xtdata.get_stock_list_in_sector
