snapshot_date,snapshot_time,sector_name,rank_in_return,etf_code,market,source_api
2026-07-14,2026-07-14 23:28:36,ETF跨境型,1,159010.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,2,159015.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,3,159028.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,4,159040.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,5,159100.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,6,159101.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,7,159102.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,8,159105.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,9,159109.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,10,159117.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,11,159118.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,12,159120.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,13,159121.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,14,159125.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,15,159126.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,16,159127.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,17,159128.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,18,159130.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,19,159131.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,20,159132.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,21,159135.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,22,159137.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,23,159143.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,24,159152.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,25,159167.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,26,159169.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,27,159170.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,28,159179.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,29,159185.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,30,159186.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,31,159191.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,32,159196.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,33,159198.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,34,159202.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,35,159210.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,36,159217.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,37,159220.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,38,159237.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,39,159239.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,40,159245.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,41,159251.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,42,159262.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,43,159265.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,44,159266.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,45,159268.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,46,159269.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,47,159271.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,48,159277.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,49,159280.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,50,159281.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,51,159285.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,52,159286.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,53,159297.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,54,159302.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,55,159303.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,56,159312.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,57,159316.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,58,159318.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,59,159323.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,60,159329.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,61,159331.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,62,159333.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,63,159365.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,64,159366.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,65,159501.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,66,159502.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,67,159506.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,68,159509.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,69,159513.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,70,159518.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,71,159519.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,72,159529.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,73,159545.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,74,159557.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,75,159561.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,76,159567.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,77,159568.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,78,159569.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,79,159570.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,80,159577.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,81,159605.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,82,159607.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,83,159612.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,84,159615.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,85,159632.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,86,159636.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,87,159655.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,88,159659.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,89,159660.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,90,159687.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,91,159688.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,92,159691.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,93,159696.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,94,159699.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,95,159711.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,96,159712.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,97,159718.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,98,159726.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,99,159735.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,100,159740.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,101,159741.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,102,159742.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,103,159747.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,104,159750.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,105,159751.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,106,159776.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,107,159788.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,108,159792.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,109,159822.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,110,159850.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,111,159866.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,112,159892.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,113,159920.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,114,159941.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,115,159954.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,116,159960.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,117,510900.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,118,513000.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,119,513010.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,120,513020.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,121,513030.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,122,513040.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,123,513050.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,124,513060.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,125,513070.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,126,513080.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,127,513090.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,128,513100.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,129,513110.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,130,513120.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,131,513130.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,132,513140.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,133,513150.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,134,513160.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,135,513170.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,136,513180.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,137,513190.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,138,513200.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,139,513210.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,140,513220.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,141,513230.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,142,513240.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,143,513260.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,144,513280.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,145,513290.SH,SH,xtdata.get_stock_list_in_sector
2026-07-14,2026-07-14 23:28:36,ETF跨境型,146,513300.SH,SH,xtdata.get_stock_list_in_sector
