snapshot_date,snapshot_time,sector_name,rank_in_return,etf_code,market,source_api
2026-07-07,2026-07-07 16:26:16,深市ETF,1,158000.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,2,159001.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,3,159003.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,4,159005.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,5,159007.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,6,159008.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,7,159009.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,8,159010.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,9,159011.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,10,159012.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,11,159013.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,12,159015.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,13,159016.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,14,159017.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,15,159018.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,16,159019.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,17,159020.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,18,159021.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,19,159022.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,20,159023.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,21,159026.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,22,159027.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,23,159028.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,24,159029.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,25,159030.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,26,159031.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,27,159032.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,28,159033.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,29,159035.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,30,159036.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,31,159037.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,32,159038.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,33,159039.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,34,159040.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,35,159041.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,36,159042.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,37,159043.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,38,159045.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,39,159046.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,40,159048.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,41,159050.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,42,159051.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,43,159052.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,44,159053.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,45,159055.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,46,159056.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,47,159057.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,48,159059.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,49,159060.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,50,159061.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,51,159062.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,52,159063.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,53,159065.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,54,159066.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,55,159070.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,56,159071.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,57,159077.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,58,159079.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,59,159085.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,60,159086.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,61,159087.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,62,159093.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,63,159098.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,64,159099.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,65,159100.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,66,159101.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,67,159102.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,68,159103.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,69,159105.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,70,159106.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,71,159107.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,72,159108.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,73,159109.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,74,159110.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,75,159111.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,76,159112.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,77,159113.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,78,159115.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,79,159116.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,80,159117.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,81,159118.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,82,159119.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,83,159120.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,84,159121.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,85,159122.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,86,159123.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,87,159125.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,88,159126.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,89,159127.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,90,159128.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,91,159129.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,92,159130.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,93,159131.SZ,SZ,xtdata.get_stock_list_in_sector
2026-07-07,2026-07-07 16:26:16,深市ETF,94,159132.SZ,SZ,xtdata.get_stock_list_in_sector
